Ronde;Datum;Punten ;Beurten ;HR;Gem ;Uitslag;Discipline;Competitie
1;do 16 sep 2021;30;31;5;0,968;W;3-banden - Match biljart;NIDM
2;do 23 sep 2021;30;38;4;0,789;W;3-banden - Match biljart;NIDM
3;do 30 sep 2021;30;58;5;0,517;W;3-banden - Match biljart;NIDM
4;do 7 okt 2021;30;50;4;0,600;W;3-banden - Match biljart;NIDM
5;do 14 okt 2021;30;51;3;0,588;W;3-banden - Match biljart;NIDM
6;do 21 okt 2021;30;42;3;0,714;W;3-banden - Match biljart;NIDM
7;do 28 okt 2021;30;27;9;1,111;W;3-banden - Match biljart;NIDM
8;do 4 nov 2021;16;39;4;0,410;L;3-banden - Match biljart;NIDM
9;do 11 nov 2021;28;34;6;0,824;L;3-banden - Match biljart;NIDM
10;do 18 nov 2021;30;37;3;0,811;W;3-banden - Match biljart;NIDM
11;do 25 nov 2021;24;37;5;0,649;L;3-banden - Match biljart;NIDM
12;do 13 jan 2022;30;54;6;0,556;W;3-banden - Match biljart;NIDM
13;vr 20 jan 2023;30;51;5;0,588;W;3-banden - Match biljart;NIDM
14;za 27 jan 2024;30;68;2;0,441;W;3-banden - Match biljart;NIDM
15;ma 3 feb 2025;30;37;4;0,811;W;3-banden - Match biljart;NIDM
16;di 10 feb 2026;30;46;4;0,652;W;3-banden - Match biljart;NIDM
17;wo 17 feb 2027;30;41;3;0,732;W;3-banden - Match biljart;NIDM
18;do 24 feb 2028;26;57;4;0,456;L;3-banden - Match biljart;NIDM
19;za 3 mrt 2029;6;23;1;0,261;L;3-banden - Match biljart;NIDM
20;zo 10 mrt 2030;30;37;5;0,811;W;3-banden - Match biljart;NIDM
21;ma 17 mrt 2031;30;50;7;0,600;W;3-banden - Match biljart;NIDM
22;di 23 mrt 2032;28;41;5;0,683;L;3-banden - Match biljart;NIDM
