Ronde;Datum;Punten ;Beurten ;HR;Gem;Uitslag;Discipline;Competitie
1;do 11 sep 2025;29;45;5;0,644;L;3-banden - Match biljart;NIDM
2;vr 19 sep 2025;30;36;6;0,833;W;3-banden - Match biljart;NIDM
3;za 20 sep 2025;22;31;4;0,710;L;3-banden - Match biljart;NIDM
4;do 2 okt 2025;30;36;5;0,833;W;3-banden - Match biljart;NIDM
5;do 23 okt 2025;30;30;5;1,000;W;3-banden - Match biljart;NIDM
6;di 28 okt 2025;30;23;5;1,304;W;3-banden - Match biljart;NIDM
7;vr 7 nov 2025;16;30;3;0,533;L;3-banden - Match biljart;NIDM
8;di 18 nov 2025;30;29;6;1,034;W;3-banden - Match biljart;NIDM
9;do 27 nov 2025;18;31;3;0,581;L;3-banden - Match biljart;NIDM
10;do 4 dec 2025;30;41;5;0,732;W;3-banden - Match biljart;NIDM
11;vr 19 dec 2025;30;33;5;0,909;W;3-banden - Match biljart;NIDM
12;di 30 dec 2025;30;31;8;0,968;W;3-banden - Match biljart;NIDM
13;do 29 jan 2026;30;39;4;0,769;W;3-banden - Match biljart;NIDM
14;do 5 feb 2026;30;34;6;0,882;W;3-banden - Match biljart;NIDM
15;wo 11 feb 2026;30;41;5;0,732;W;3-banden - Match biljart;NIDM
16;vr 20 feb 2026;;;;;;3-banden - Match biljart;NIDM
17;do 26 feb 2026;;;;;;3-banden - Match biljart;NIDM
18;za 28 feb 2026;;;;;;3-banden - Match biljart;NIDM
19;ma 16 mrt 2026;;;;;;3-banden - Match biljart;NIDM
20;do 19 mrt 2026;;;;;;3-banden - Match biljart;NIDM
21;ma 30 mrt 2026;;;;;;3-banden - Match biljart;NIDM
22;do 23 apr 2026;;;;;;3-banden - Match biljart;NIDM
