Ronde;Datum;Punten ;Beurten ;HR;Gem ;Uitslag;Discipline;Competitie
1;do 15 sep 2022;21;42;3;0,500;L;3-banden - Match biljart;NIDM
2;do 22 sep 2022;22;36;5;0,611;L;3-banden - Match biljart;NIDM
3;do 29 sep 2022;30;31;5;0,968;W;3-banden - Match biljart;NIDM
4;do 6 okt 2022;22;27;5;0,815;L;3-banden - Match biljart;NIDM
5;do 13 okt 2022;30;34;3;0,882;W;3-banden - Match biljart;NIDM
6;do 20 okt 2022;30;51;3;0,588;W;3-banden - Match biljart;NIDM
7;do 27 okt 2022;;;;;;3-banden - Match biljart;NIDM
8;do 3 nov 2022;17;38;4;0,447;L;3-banden - Match biljart;NIDM
9;do 10 nov 2022;27;40;3;0,675;L;3-banden - Match biljart;NIDM
10;do 17 nov 2022;30;45;5;0,667;W;3-banden - Match biljart;NIDM
11;do 24 nov 2022;14;28;4;0,500;L;3-banden - Match biljart;NIDM
12;do 12 jan 2023;30;25;5;1,200;W;3-banden - Match biljart;NIDM
13;do 19 jan 2023;30;28;6;1,071;W;3-banden - Match biljart;NIDM
14;do 26 jan 2023;28;39;4;0,718;L;3-banden - Match biljart;NIDM
15;do 2 feb 2023;30;34;7;0,882;W;3-banden - Match biljart;NIDM
16;do 9 feb 2023;30;29;7;1,034;W;3-banden - Match biljart;NIDM
17;do 16 feb 2023;30;29;3;1,034;W;3-banden - Match biljart;NIDM
18;do 23 feb 2023;;;;;;3-banden - Match biljart;NIDM
19;do 2 mrt 2023;30;39;5;0,769;W;3-banden - Match biljart;NIDM
20;do 9 mrt 2023;30;45;5;0,667;W;3-banden - Match biljart;NIDM
21;do 16 mrt 2023;30;33;6;0,909;W;3-banden - Match biljart;NIDM
22;do 23 mrt 2023;22;30;3;0,733;L;3-banden - Match biljart;NIDM
